selected_id,frame_index,timestamp_sec,image_path,reason,novelty_distance,depth_m,depth_eligible,telemetry_reason,descriptor_backend,novelty_threshold_used,adaptive_threshold_enabled,dino_distance,classical_distance,hybrid_distance,sharpness,brightness_mean,brightness_std,edge_density
1,390,13.0,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0001_t00013.0.jpg,first_frame,0.0,1.781813,True,depth_ok,dino,0.45,False,,,,257.20721,130.417148,22.158846,0.008091
2,1770,58.999,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0002_t00059.0.jpg,visual_change,0.4537,2.6,True,depth_ok,dino,0.45,False,0.4537,,,269.680267,129.271313,13.184729,0.015887
3,4590,152.999,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0003_t00153.0.jpg,visual_change,0.469913,2.6,True,outside_depth_boundary,dino,0.45,False,0.469913,,,276.418673,128.908617,12.270963,0.00896
4,4800,159.999,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0004_t00160.0.jpg,visual_change,0.468641,3.310055,True,outside_depth_boundary,dino,0.45,False,0.468641,,,352.443691,122.34784,21.867484,0.063981
5,4920,163.999,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0005_t00164.0.jpg,visual_change,0.472506,3.3,True,outside_depth_boundary,dino,0.45,False,0.472506,,,394.213006,133.807822,16.297682,0.039533
6,5370,178.998,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0006_t00179.0.jpg,visual_change,0.455565,3.1,True,outside_depth_boundary,dino,0.45,False,0.455565,,,301.073129,125.816353,16.975389,0.029629
7,6540,217.998,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0007_t00218.0.jpg,visual_change,0.495324,2.3,True,outside_depth_boundary,dino,0.45,False,0.495324,,,289.779619,128.313477,15.188882,0.008921
8,8280,275.997,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0008_t00276.0.jpg,visual_change,0.476145,1.717959,True,outside_depth_boundary,dino,0.45,False,0.476145,,,287.554364,122.816411,22.959064,0.020233
9,9030,300.997,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0009_t00301.0.jpg,visual_change,0.502185,0.487106,True,outside_depth_boundary,dino,0.45,False,0.502185,,,257.9339,130.104863,13.019261,0.007419
10,10350,344.997,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0010_t00345.0.jpg,visual_change,0.486436,2.008977,True,outside_depth_boundary,dino,0.45,False,0.486436,,,161.604271,140.199751,27.020434,0.008618
11,11250,374.997,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0011_t00375.0.jpg,visual_change,0.520247,2.273207,True,outside_depth_boundary,dino,0.45,False,0.520247,,,385.995202,122.349103,19.616127,0.073169
12,11370,378.997,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0012_t00379.0.jpg,visual_change,0.645204,2.381398,True,outside_depth_boundary,dino,0.45,False,0.645204,,,138.350449,151.101691,26.70408,0.007443
13,11760,391.996,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0013_t00392.0.jpg,visual_change,0.46602,2.290291,True,depth_ok,dino,0.45,False,0.46602,,,206.260576,135.229315,24.71607,0.010575
14,12450,414.996,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0014_t00415.0.jpg,visual_change,0.450289,2.3,True,depth_ok,dino,0.45,False,0.450289,,,276.910166,131.287616,14.319494,0.016628
